1.792791,-53.28,81.9,-178.56,179.28
1.808908,-53.82,82.44,-178.56,179.28
1.822363,-54.18,83.16,-178.56,179.28
1.83343,-54.72,84.06,-178.56,179.28
1.845338,-55.08,84.78,-178.56,179.28
1.862616,-55.62,85.68,-178.56,179.28
1.878246,-56.16,86.76,-178.56,179.28
1.889671,-56.52,87.12,-178.56,179.28
1.903347,-57.06,88.02,-178.56,179.28
1.915604,-57.6,88.74,-178.56,179.28
1.93063,-58.32,89.64,-178.56,179.28
1.944661,-58.68,90.36,-178.56,179.28
1.95934,-59.22,91.26,-178.56,179.28
1.974863,-59.76,91.98,-178.56,179.28
1.986589,-60.12,92.52,-178.56,179.28
1.999684,-60.48,93.42,-178.56,179.28
2.012608,-61.02,94.14,-178.56,179.28
2.019776,-61.2,94.68,-178.56,179.28
2.031455,-61.74,95.4,-178.56,179.28
2.045482,-62.46,96.48,-178.56,179.28
2.056953,-63.18,97.38,-178.56,179.28
2.076005,-63.72,98.28,-178.56,179.28
2.088231,-64.26,99.18,-178.56,179.28
2.102024,-64.62,99.9,-178.56,179.28
2.116673,-65.16,100.8,-178.56,178.74
2.132415,-65.7,101.52,-178.56,178.02
2.140187,-66.06,102.06,-178.56,177.48
2.148798,-66.42,102.6,-178.56,175.86
2.15472,-66.6,103.32,-178.56,174.06
2.17611,-68.4,106.02,-178.56,156.96
2.186163,-68.4,106.02,-178.56,156.96
2.198296,-68.58,106.02,-178.56,156.24
2.209436,-68.76,106.74,-178.56,155.16
2.21993,-69.3,107.46,-178.56,152.82
2.236755,-70.2,108.72,-178.56,150.3
2.252465,-70.74,109.62,-178.56,146.88
2.266534,-71.28,110.16,-178.56,144.9
2.281001,-71.64,111.06,-178.56,142.02
2.292623,-72.0,111.78,-178.56,139.32
2.305798,-72.54,112.5,-178.56,135.54
2.317775,-73.08,113.22,-178.56,132.48
2.328683,-73.62,114.12,-178.56,128.16
2.334003,-73.98,114.66,-178.56,126.0
2.339216,-74.34,115.38,-178.56,122.58
2.347629,-74.88,116.28,-178.56,118.44
2.362559,-75.78,117.72,-178.56,113.4
2.375626,-76.14,118.44,-178.56,109.08
2.390434,-76.68,119.16,-178.56,104.4
2.405453,-77.22,120.06,-178.56,100.26
2.420085,-77.76,120.96,-178.56,96.3
2.434858,-78.48,121.86,-178.56,92.52
2.449598,-78.84,122.58,-178.56,89.46
2.462856,-79.38,123.3,-178.56,86.22
2.478628,-79.92,124.38,-178.56,81.36
